Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
02:52,"SUB IN by PALMER,BRADY",,,,,,,"SUB IN by PALMER,BRADY",1
02:40,"MISS JUMPER by GERNATT,JONATHAN",,,,,,,"MISS JUMPER by GERNATT,JONATHAN",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
02:26,,,,,"MISS JUMPER by PERUSEK,COLE",,,"MISS JUMPER by PERUSEK,COLE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:24,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",1
02:24,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
02:03,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
02:03,"GOOD FT by CRUMLY,WILL",30 (+3),,27,,COV 30-27 (-3),,"GOOD FT by CRUMLY,WILL",1
02:03,"GOOD FT by CRUMLY,WILL",31 (+4),,27,,COV 31-27 (-4),,"GOOD FT by CRUMLY,WILL",1
02:03,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
02:03,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
01:39,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
01:39,"STEAL  by PALMER,BRADY",,,,,,,"STEAL  by PALMER,BRADY",1
01:32,"MISS JUMPER by BARNETTE,CHRIS",,,,,,,"MISS JUMPER by BARNETTE,CHRIS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:12,"FOUL  by PALMER,BRADY",,,,,,,"FOUL  by PALMER,BRADY",1
01:12,,31 (+3),,28,"GOOD FT by CORRIGAN,TRE",Sewan 31-28 (-3),,"GOOD FT by CORRIGAN,TRE",1
01:12,,31 (+2),,29,"GOOD FT by CORRIGAN,TRE",Sewan 31-29 (-2),,"GOOD FT by CORRIGAN,TRE",1
01:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:06,"GOOD JUMPER by GERNATT,JONATHAN",33 (+4),,29,,COV 33-29 (-4),,"GOOD JUMPER by GERNATT,JONATHAN",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
00:39,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",1
00:39,"STEAL  by IGBANU,PROMISE",,,,,,,"STEAL  by IGBANU,PROMISE",1
00:39,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
00:39,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
00:30,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",1
00:30,"GOOD FT by CRUMLY,WILL",34 (+5),,29,,COV 34-29 (-5),,"GOOD FT by CRUMLY,WILL",1
00:30,"SUB OUT by BARNETTE,CHRIS",,,,,,,"SUB OUT by BARNETTE,CHRIS",1
00:30,"SUB IN by FITZGERALD,JACKSON",,,,,,,"SUB IN by FITZGERALD,JACKSON",1
00:30,"MISS FT by CRUMLY,WILL",,,,,,,"MISS FT by CRUMLY,WILL",1
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",1
00:13,,,,,"MISS JUMPER by MARR,RUSS",,,"MISS JUMPER by MARR,RUSS",1
--,,,,,"REBOUND OFF by BOULDIN,BLAKE",,,"REBOUND OFF by BOULDIN,BLAKE",1
00:02,,,,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",1
--,"REBOUND DEF by GERNATT,JONATHAN",,,,,,,"REBOUND DEF by GERNATT,JONATHAN",1
00:00,"GOOD JUMPER by PALMER,BRADY(fastbreak)",36 (+7),,29,,COV 36-29 (-7),,"GOOD JUMPER by PALMER,BRADY(fastbreak)",1
00:00,"GOOD 3PTR by PALMER,BRADY",39 (+10),,29,,COV 39-29 (-10),,"GOOD 3PTR by PALMER,BRADY",1
00:00,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
20:00,"SUB OUT by FITZGERALD,JACKSON",,,,,,,"SUB OUT by FITZGERALD,JACKSON",2
20:00,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",2
20:00,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",2
20:00,"SUB IN by BARNETTE,CHRIS",,,,,,,"SUB IN by BARNETTE,CHRIS",2
19:49,,,,,"MISS JUMPER by MARR,RUSS(in the paint)",,,"MISS JUMPER by MARR,RUSS(in the paint)",2
19:49,"BLOCK  by IGBANU,PROMISE",,,,,,,"BLOCK  by IGBANU,PROMISE",2
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",2
