Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
01:46,"GOOD 3PTR by KAHL,COLIN",32 (+1),,31,,SEWANEE 32-31 (+1),,"GOOD 3PTR by KAHL,COLIN",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
01:29,,,,,"TURNOVER  by CLEMENTS-OWENS,ORRY",,,"TURNOVER  by CLEMENTS-OWENS,ORRY",1
01:29,,,,,"SUB IN by JOLLY,RYAN",,,"SUB IN by JOLLY,RYAN",1
01:29,,,,,"SUB OUT by REARDON,NOAH",,,"SUB OUT by REARDON,NOAH",1
01:27,"TURNOVER  by PERUSEK,COLE",,,,,,,"TURNOVER  by PERUSEK,COLE",1
01:26,,,,,"STEAL  by JOLLY,RYAN",,,"STEAL  by JOLLY,RYAN",1
01:16,,,,,"MISS LAYUP by JOLLY,RYAN",,,"MISS LAYUP by JOLLY,RYAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:06,,,,,"TURNOVER  by FOOTE,JORDAN",,,"TURNOVER  by FOOTE,JORDAN",1
01:05,"STEAL  by SMITH,GRAHAM",,,,,,,"STEAL  by SMITH,GRAHAM",1
00:52,,,,,"FOUL  by FOOTE,JORDAN",,,"FOUL  by FOOTE,JORDAN",1
00:52,"GOOD FT by KAHL,COLIN",33 (+2),,31,,SEWANEE 33-31 (+2),,"GOOD FT by KAHL,COLIN",1
00:52,"GOOD FT by KAHL,COLIN",34 (+3),,31,,SEWANEE 34-31 (+3),,"GOOD FT by KAHL,COLIN",1
00:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:52,,,,,"SUB IN by PALMER,AARON",,,"SUB IN by PALMER,AARON",1
00:52,,,,,"SUB OUT by FOOTE,JORDAN",,,"SUB OUT by FOOTE,JORDAN",1
00:42,,34,,34,"GOOD 3PTR by CLEMENTS-OWENS,ORRY",PUM 34-34 (0),,"GOOD 3PTR by CLEMENTS-OWENS,ORRY",1
--,,,,,"ASSIST  by JOLLY,RYAN",,,"ASSIST  by JOLLY,RYAN",1
00:12,"MISS JUMPER by PERUSEK,COLE",,,,,,,"MISS JUMPER by PERUSEK,COLE",1
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",1
00:00,,,,,"MISS 3PTR by JOLLY,RYAN",,,"MISS 3PTR by JOLLY,RYAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:46,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",2
19:36,,34,,37 (+3),"GOOD 3PTR by CLEMENTS-OWENS,ORRY",PUM 34-37 (-3),,"GOOD 3PTR by CLEMENTS-OWENS,ORRY",2
--,,,,,"ASSIST  by JOLLY,RYAN",,,"ASSIST  by JOLLY,RYAN",2
19:18,,,,,"FOUL  by QUICK,JUSTIN",,,"FOUL  by QUICK,JUSTIN",2
18:56,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
18:56,,,,,"STEAL  by FOOTE,JORDAN",,,"STEAL  by FOOTE,JORDAN",2
18:52,,34,,39 (+5),"GOOD LAYUP by JOLLY,RYAN(in the paint)",PUM 34-39 (-5),,"GOOD LAYUP by JOLLY,RYAN(in the paint)",2
18:32,"GOOD LAYUP by CRUMP,JOHN(in the paint)",36,,39 (+3),,SEWANEE 36-39 (-3),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
18:17,,36,,42 (+6),"GOOD 3PTR by CLEMENTS-OWENS,ORRY",PUM 36-42 (-6),,"GOOD 3PTR by CLEMENTS-OWENS,ORRY",2
18:00,"MISS JUMPER by KAHL,COLIN",,,,,,,"MISS JUMPER by KAHL,COLIN",2
--,,,,,"REBOUND DEF by QUICK,JUSTIN",,,"REBOUND DEF by QUICK,JUSTIN",2
