Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by MOLINET,CHRISTIAN",,,"ASSIST  by MOLINET,CHRISTIAN",2
16:09,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",42 (+16),,26,,RCMBB13 42-26 (+16),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",2
15:54,,,,,"TURNOVER  by MOLINET,CHRISTIAN",,,"TURNOVER  by MOLINET,CHRISTIAN",2
15:42,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",2
15:42,"MISS FT by MCGRAIL,PATRICK",,,,,,,"MISS FT by MCGRAIL,PATRICK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:42,"GOOD FT by MCGRAIL,PATRICK",43 (+17),,26,,RCMBB13 43-26 (+17),,"GOOD FT by MCGRAIL,PATRICK",2
15:42,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
15:42,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
15:42,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
15:42,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",2
15:42,,,,,"SUB IN by PITTS,ALEC",,,"SUB IN by PITTS,ALEC",2
15:42,,,,,"SUB IN by HAMILTON,PRICE",,,"SUB IN by HAMILTON,PRICE",2
15:42,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",2
15:42,,,,,"SUB OUT by MOLINET,CHRISTIAN",,,"SUB OUT by MOLINET,CHRISTIAN",2
