Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SPA,Game Score,Team Indicator,Play,Period
05:12,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
04:48,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",1
--,,,,,"REBOUND OFF by JEANNELAS,MATT",,,"REBOUND OFF by JEANNELAS,MATT",1
04:43,,16,,17 (+1),"GOOD JUMPER by ROWE,RYLAN",SPA 16-17 (-1),,"GOOD JUMPER by ROWE,RYLAN",1
--,,,,,"ASSIST  by JEANNELAS,MATT",,,"ASSIST  by JEANNELAS,MATT",1
04:17,"MISS JUMPER by GRUBER,SAM",,,,,,,"MISS JUMPER by GRUBER,SAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:13,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
04:13,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
04:13,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
03:58,,,,,"FOUL  by TRISKO,NICK",,,"FOUL  by TRISKO,NICK",1
03:43,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
03:40,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by GOEING,BRANDON",,,"REBOUND DEF by GOEING,BRANDON",1
03:37,,,,,"MISS 3PTR by ROWE,RYLAN",,,"MISS 3PTR by ROWE,RYLAN",1
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",1
03:32,,16,,19 (+3),"GOOD JUMPER by TURNER,JAMES",SPA 16-19 (-3),,"GOOD JUMPER by TURNER,JAMES",1
03:09,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by TRISKO,NICK",,,"REBOUND DEF by TRISKO,NICK",1
03:04,,,,,"TURNOVER  by ROWE,RYLAN",,,"TURNOVER  by ROWE,RYLAN",1
03:02,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",1
02:59,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND DEF by GOEING,BRANDON",,,"REBOUND DEF by GOEING,BRANDON",1
02:53,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
