Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
01:40,,25,,30 (+5),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 25-30 (+5),,"GOOD FT by WHITESIDE,DONOVAN",1
01:40,,25,,31 (+6),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 25-31 (+6),,"GOOD FT by WHITESIDE,DONOVAN",1
01:40,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
01:40,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
01:33,"TURNOVER  by AUBERT,DUSTIN",,,,,,,"TURNOVER  by AUBERT,DUSTIN",1
01:32,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
01:32,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
01:27,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",1
01:27,,,,,"BLOCK  by WHITESIDE,DONOVAN",,,"BLOCK  by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
01:19,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
01:11,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",1
01:11,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
01:04,"MISS LAYUP by MCELVEEN,MAC",,,,,,,"MISS LAYUP by MCELVEEN,MAC",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:01,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
00:53,,,,,"MISS LAYUP by MURRAY,RYAN",,,"MISS LAYUP by MURRAY,RYAN",1
00:53,"BLOCK  by BERGER,RYAN",,,,,,,"BLOCK  by BERGER,RYAN",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
00:43,"GOOD 3PTR by MCELVEEN,MAC",28,,31 (+3),,MILLSAPS 28-31 (+3),,"GOOD 3PTR by MCELVEEN,MAC",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
00:08,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by MCELVEEN,MAC",,,,,,,"REBOUND DEF by MCELVEEN,MAC",1
00:00,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",30,,31 (+1),,MILLSAPS 30-31 (+1),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",1
--,"ASSIST  by MCELVEEN,MAC",,,,,,,"ASSIST  by MCELVEEN,MAC",1
19:38,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by MURRAY,RYAN",,,"REBOUND DEF by MURRAY,RYAN",2
19:25,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
19:24,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
19:21,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",32 (+1),,31,,MILLSAPS 32-31 (-1),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
19:02,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by AUBERT,DUSTIN",,,,,,,"REBOUND DEF by AUBERT,DUSTIN",2
18:30,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
18:23,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
