Time Remaining,CENTR,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
03:22,"GOOD JUMPER by TAYLOR,CHRIS",28,,35 (+7),,CENTR 28-35 (-7),,"GOOD JUMPER by TAYLOR,CHRIS",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
03:04,,,,,"MISS JUMPER by PENNY,CJ",,,"MISS JUMPER by PENNY,CJ",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
02:57,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
02:43,,,,,"FOUL  by BAIR,KYLE",,,"FOUL  by BAIR,KYLE",1
02:37,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
02:20,,,,,"MISS JUMPER by PENNY,CJ",,,"MISS JUMPER by PENNY,CJ",1
--,,,,,"REBOUND OFF by EUTON,DAKOTAH",,,"REBOUND OFF by EUTON,DAKOTAH",1
02:18,,28,,37 (+9),"GOOD JUMPER by EUTON,DAKOTAH(in the paint)",AC 28-37 (-9),,"GOOD JUMPER by EUTON,DAKOTAH(in the paint)",1
02:00,"GOOD 3PTR by KARSNER,JOSH",31,,37 (+6),,CENTR 31-37 (-6),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
01:50,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
01:50,,,,,"MISS FT by RICHARDSON,CAM",,,"MISS FT by RICHARDSON,CAM",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
01:50,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
01:50,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
01:50,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
01:50,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
01:40,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
01:39,,,,,"BLOCK  by PENNY,CJ",,,"BLOCK  by PENNY,CJ",1
--,,,,,"REBOUND DEF by EUTON,DAKOTAH",,,"REBOUND DEF by EUTON,DAKOTAH",1
01:22,,31,,39 (+8),"GOOD JUMPER by PENNY,CJ(in the paint)",AC 31-39 (-8),,"GOOD JUMPER by PENNY,CJ(in the paint)",1
01:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:57,"GOOD 3PTR by WHITESIDE,DONOVAN",34,,39 (+5),,CENTR 34-39 (-5),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
00:35,,,,,"TURNOVER  by BAIR,KYLE",,,"TURNOVER  by BAIR,KYLE",1
00:33,"STEAL  by TAYLOR,CHRIS",,,,,,,"STEAL  by TAYLOR,CHRIS",1
00:27,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",36,,39 (+3),,CENTR 36-39 (-3),,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
00:03,,36,,41 (+5),"GOOD JUMPER by RICHARDSON,CAM(in the paint)",AC 36-41 (-5),,"GOOD JUMPER by RICHARDSON,CAM(in the paint)",1
19:49,,,,,"MISS JUMPER by PENNY,CJ",,,"MISS JUMPER by PENNY,CJ",2
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",2
19:36,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by EUTON,DAKOTAH",,,"REBOUND DEF by EUTON,DAKOTAH",2
19:10,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
19:10,,36,,42 (+6),"GOOD FT by LAMB,KYLE",AC 36-42 (-6),,"GOOD FT by LAMB,KYLE",2
19:10,,,,,"MISS FT by LAMB,KYLE",,,"MISS FT by LAMB,KYLE",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
18:51,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",38,,42 (+4),,CENTR 38-42 (-4),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",2
18:41,,,,,"MISS JUMPER by RICHARDSON,CAM",,,"MISS JUMPER by RICHARDSON,CAM",2
--,,,,,"REBOUND OFF by PENNY,CJ",,,"REBOUND OFF by PENNY,CJ",2
