Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
03:46,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:46,,19,,25 (+6),"GOOD FT by BARNETTE,CHRIS",CCM 19-25 (-6),,"GOOD FT by BARNETTE,CHRIS",1
03:46,,,,,"MISS FT by BARNETTE,CHRIS",,,"MISS FT by BARNETTE,CHRIS",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
03:46,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
03:46,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
03:46,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",1
03:46,,,,,"SUB OUT by PEARLMAN,LOGAN",,,"SUB OUT by PEARLMAN,LOGAN",1
03:27,"MISS 3PTR by BANKS,JAXSON",,,,,,,"MISS 3PTR by BANKS,JAXSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:25,,,,,"FOUL  by PLATT,DAEVON",,,"FOUL  by PLATT,DAEVON",1
03:24,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",1
03:23,,,,,"STEAL  by PLATT,DAEVON",,,"STEAL  by PLATT,DAEVON",1
02:58,,,,,"MISS 3PTR by GERNATT,JONATHAN",,,"MISS 3PTR by GERNATT,JONATHAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:46,,,,,"MISS 3PTR by CRUMLY,WILL",,,"MISS 3PTR by CRUMLY,WILL",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
02:26,"MISS JUMPER by SMITH,RJ",,,,,,,"MISS JUMPER by SMITH,RJ",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:23,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
02:23,"SUB OUT by BANKS,JAXSON",,,,,,,"SUB OUT by BANKS,JAXSON",1
02:18,"GOOD 3PTR by BAUGHMAN,CARTER",22,,25 (+3),,CENTRE 22-25 (-3),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
01:58,,,,,"FOUL  by CRUMLY,WILL",,,"FOUL  by CRUMLY,WILL",1
01:58,,,,,"TURNOVER  by CRUMLY,WILL",,,"TURNOVER  by CRUMLY,WILL",1
01:41,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",1
01:36,"GOOD LAYUP by SMITH,RJ(in the paint)",24,,25 (+1),,CENTRE 24-25 (-1),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
01:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:35,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
