Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
02:45,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",1
02:45,,,,,"SUB OUT by SANDERS,DOROUGH",,,"SUB OUT by SANDERS,DOROUGH",1
02:45,,,,,"SUB OUT by O'HARA,ROSS",,,"SUB OUT by O'HARA,ROSS",1
02:27,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",1
02:22,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",1
02:22,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
02:21,,,,,"TURNOVER  by MITCHELL,NICK",,,"TURNOVER  by MITCHELL,NICK",1
02:18,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",1
02:00,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",1
02:00,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",1
02:00,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
02:00,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
02:00,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",1
02:00,,,,,"SUB OUT by ANDERSON,KYRON",,,"SUB OUT by ANDERSON,KYRON",1
01:40,,27,,29 (+2),"GOOD JUMPER by VAUGHN,MARCUS(in the paint)",LCM 27-29 (-2),,"GOOD JUMPER by VAUGHN,MARCUS(in the paint)",1
01:22,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
01:11,,,,,"MISS LAYUP by MITCHELL,NICK",,,"MISS LAYUP by MITCHELL,NICK",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
00:46,"MISS JUMPER by THOMAS,STERLING",,,,,,,"MISS JUMPER by THOMAS,STERLING",1
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",1
00:34,,,,,"MISS JUMPER by ROBINSON,DENZEL",,,"MISS JUMPER by ROBINSON,DENZEL",1
--,,,,,"REBOUND OFF by VAUGHN,MARCUS",,,"REBOUND OFF by VAUGHN,MARCUS",1
00:32,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",1
00:32,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",1
00:32,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
00:32,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
00:32,,,,,"SUB IN by MACLIN,CATRELL",,,"SUB IN by MACLIN,CATRELL",1
00:32,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
00:08,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",1
--,,,,,"REBOUND DEF by MACLIN,CATRELL",,,"REBOUND DEF by MACLIN,CATRELL",1
19:44,"MISS JUMPER by KINNEAR,KYLE",,,,,,,"MISS JUMPER by KINNEAR,KYLE",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
