Time Remaining,BERRY-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:00,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
12:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:59,"GOOD FT by GADIE,KENDALL",45,,46 (+1),,BERRY-M 45-46 (+1),,"GOOD FT by GADIE,KENDALL",2
11:59,"GOOD FT by GADIE,KENDALL",46,,46,,BERRY-M 46-46 (0),,"GOOD FT by GADIE,KENDALL",2
11:45,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by WOODS,STEFAN",,,,,,,"REBOUND DEF by WOODS,STEFAN",2
11:38,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",2
11:38,"GOOD FT by MILES,TIM",47 (+1),,46,,BERRY-M 47-46 (-1),,"GOOD FT by MILES,TIM",2
11:38,"GOOD FT by MILES,TIM",48 (+2),,46,,BERRY-M 48-46 (-2),,"GOOD FT by MILES,TIM",2
11:11,,,,,"TURNOVER  by MARTIN,SAM",,,"TURNOVER  by MARTIN,SAM",2
11:02,"GOOD LAYUP by LEBLANC,CASS(in the paint)",50 (+4),,46,,BERRY-M 50-46 (-4),,"GOOD LAYUP by LEBLANC,CASS(in the paint)",2
10:37,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
10:35,"STEAL  by GADIE,KENDALL",,,,,,,"STEAL  by GADIE,KENDALL",2
10:31,"MISS LAYUP by MILES,TIM",,,,,,,"MISS LAYUP by MILES,TIM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:27,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
10:27,"GOOD FT by MILES,TIM",51 (+5),,46,,BERRY-M 51-46 (-5),,"GOOD FT by MILES,TIM",2
10:27,"GOOD FT by MILES,TIM",52 (+6),,46,,BERRY-M 52-46 (-6),,"GOOD FT by MILES,TIM",2
10:04,,,,,"MISS JUMPER by WILLIAMS,TRENT",,,"MISS JUMPER by WILLIAMS,TRENT",2
--,"REBOUND DEF by WOODS,STEFAN",,,,,,,"REBOUND DEF by WOODS,STEFAN",2
09:51,"MISS JUMPER by WOODS,STEFAN",,,,,,,"MISS JUMPER by WOODS,STEFAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:49,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
09:49,"GOOD FT by WOODS,STEFAN",53 (+7),,46,,BERRY-M 53-46 (-7),,"GOOD FT by WOODS,STEFAN",2
09:49,"MISS FT by WOODS,STEFAN",,,,,,,"MISS FT by WOODS,STEFAN",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
09:26,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
09:25,"STEAL  by WOODS,STEFAN",,,,,,,"STEAL  by WOODS,STEFAN",2
09:23,"TURNOVER  by WOODS,STEFAN",,,,,,,"TURNOVER  by WOODS,STEFAN",2
09:05,"FOUL  by MILES,TIM",,,,,,,"FOUL  by MILES,TIM",2
09:01,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
08:39,"GOOD 3PTR by MILES,TIM",56 (+10),,46,,BERRY-M 56-46 (-10),,"GOOD 3PTR by MILES,TIM",2
--,"ASSIST  by WHALEN,MAC",,,,,,,"ASSIST  by WHALEN,MAC",2
08:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:14,,,,,"MISS 3PTR by COWAN,MATT",,,"MISS 3PTR by COWAN,MATT",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
08:08,,56 (+8),,48,"GOOD JUMPER by NELSON,ANVIL",SEWANEE 56-48 (-8),,"GOOD JUMPER by NELSON,ANVIL",2
07:52,"GOOD 3PTR by MILES,TIM",59 (+11),,48,,BERRY-M 59-48 (-11),,"GOOD 3PTR by MILES,TIM",2
--,"ASSIST  by GADIE,KENDALL",,,,,,,"ASSIST  by GADIE,KENDALL",2
