Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UTT,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by LANE,JOHNELL",,,"ASSIST  by LANE,JOHNELL",1
10:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
10:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
10:33,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
10:33,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
10:33,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
10:33,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
10:33,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
10:33,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
10:33,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
10:33,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
10:33,"SUB OUT by ROTEMAN,EVAN",,,,,,,"SUB OUT by ROTEMAN,EVAN",1
10:33,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
10:21,"MISS 3PTR by MCINTYRE,WILLIAM",,,,,,,"MISS 3PTR by MCINTYRE,WILLIAM",1
--,"REBOUND OFF by NYAWATA,ANESU",,,,,,,"REBOUND OFF by NYAWATA,ANESU",1
10:14,"TURNOVER  by MCINTYRE,WILLIAM",,,,,,,"TURNOVER  by MCINTYRE,WILLIAM",1
10:12,,,,,"STEAL  by LANE,JOHNELL",,,"STEAL  by LANE,JOHNELL",1
10:10,,,,,"MISS LAYUP by FRANK,CAMERON",,,"MISS LAYUP by FRANK,CAMERON",1
--,"REBOUND DEF by MCINTYRE,WILLIAM",,,,,,,"REBOUND DEF by MCINTYRE,WILLIAM",1
09:54,"TURNOVER  by DALTON,PRICE",,,,,,,"TURNOVER  by DALTON,PRICE",1
09:52,,,,,"STEAL  by OBUKWELU,EMEKA",,,"STEAL  by OBUKWELU,EMEKA",1
09:50,,27 (+2),,25,"GOOD LAYUP by TATUM,JOSH(fastbreak)(in the paint)",UTT 27-25 (+2),,"GOOD LAYUP by TATUM,JOSH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FRANK,CAMERON",,,"ASSIST  by FRANK,CAMERON",1
09:27,"MISS JUMPER by ASHBY,KENDRICK",,,,,,,"MISS JUMPER by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by ANTHONY,MELVIN",,,"REBOUND DEF by ANTHONY,MELVIN",1
09:22,,27,,27,"GOOD LAYUP by OBUKWELU,EMEKA(fastbreak)(in the paint)",UTT 27-27 (0),,"GOOD LAYUP by OBUKWELU,EMEKA(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FRANK,CAMERON",,,"ASSIST  by FRANK,CAMERON",1
09:10,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND OFF by ASHBY,KENDRICK",,,,,,,"REBOUND OFF by ASHBY,KENDRICK",1
