Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,MUMB,Game Score,Team Indicator,Play,Period
00:55,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
00:55,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
00:40,"GOOD 3PTR by WILLIAMS,JORDEN",39 (+13),,26,,SEWANE~1 39-26 (+13),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",1
00:10,,39 (+11),,28,"GOOD LAYUP by MONK,BRANDON(in the paint)",MUMB 39-28 (+11),,"GOOD LAYUP by MONK,BRANDON(in the paint)",1
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",1
00:02,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by DAVIS,BLAKE",,,"REBOUND DEF by DAVIS,BLAKE",1
19:30,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
19:03,,39 (+9),,30,"GOOD LAYUP by HILLIARD,TABIAS(in the paint)",MUMB 39-30 (+9),,"GOOD LAYUP by HILLIARD,TABIAS(in the paint)",2
18:35,"MISS JUMPER by JONES,CODY",,,,,,,"MISS JUMPER by JONES,CODY",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
18:17,,39 (+7),,32,"GOOD LAYUP by AYABARRENO,DAVION(in the paint)",MUMB 39-32 (+7),,"GOOD LAYUP by AYABARRENO,DAVION(in the paint)",2
18:03,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND DEF by AUGHBURNS,IRVING",,,"REBOUND DEF by AUGHBURNS,IRVING",2
17:54,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",2
--,,,,,"REBOUND OFF by WHITLEY,JACKSON",,,"REBOUND OFF by WHITLEY,JACKSON",2
