Time Remaining,WC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
00:36,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by ACHIREM,OBED",,,,,,,"REBOUND DEF by ACHIREM,OBED",1
00:35,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
00:35,"SUB IN by FREEMAN,ANTHONY",,,,,,,"SUB IN by FREEMAN,ANTHONY",1
00:35,"SUB OUT by MITCHELL,TRAVIS",,,,,,,"SUB OUT by MITCHELL,TRAVIS",1
00:11,"TURNOVER  by BIRD,BRYCE",,,,,,,"TURNOVER  by BIRD,BRYCE",1
00:01,,31,,31,"GOOD JUMPER by PARKS,JACKSON(in the paint)",HENDRIX 31-31 (0),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
19:40,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by ACHIREM,OBED",,,,,,,"REBOUND DEF by ACHIREM,OBED",2
19:05,"MISS JUMPER by LEWIS,JAYDEN",,,,,,,"MISS JUMPER by LEWIS,JAYDEN",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
18:54,,31,,33 (+2),"GOOD JUMPER by RYAN,JONATHAN(in the paint)",HENDRIX 31-33 (+2),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",2
18:54,"FOUL  by CLARK,ANDREW",,,,,,,"FOUL  by CLARK,ANDREW",2
18:54,,31,,34 (+3),"GOOD FT by RYAN,JONATHAN",HENDRIX 31-34 (+3),,"GOOD FT by RYAN,JONATHAN",2
18:41,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",2
18:41,"GOOD FT by LEWIS,JAYDEN",32,,34 (+2),,WC 32-34 (+2),,"GOOD FT by LEWIS,JAYDEN",2
18:41,"GOOD FT by LEWIS,JAYDEN",33,,34 (+1),,WC 33-34 (+1),,"GOOD FT by LEWIS,JAYDEN",2
18:38,"FOUL  by CLARK,ANDREW",,,,,,,"FOUL  by CLARK,ANDREW",2
18:28,,33,,36 (+3),"GOOD JUMPER by RYAN,JONATHAN(in the paint)",HENDRIX 33-36 (+3),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",2
