Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
07:58,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
07:43,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
07:37,,9,,32 (+23),"GOOD 3PTR by PARKS,JACKSON",HENDRIX 9-32 (+23),,"GOOD 3PTR by PARKS,JACKSON",1
07:15,"TURNOVER  by AESCHLIMAN,SETH",,,,,,,"TURNOVER  by AESCHLIMAN,SETH",1
07:14,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
07:02,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
06:57,,9,,34 (+25),"GOOD TIPIN by ,DARVIS RASBERRY JR(in the paint)",HENDRIX 9-34 (+25),,"GOOD TIPIN by ,DARVIS RASBERRY JR(in the paint)",1
06:38,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
06:32,"FOUL  by CLAYTON,TJ",,,,,,,"FOUL  by CLAYTON,TJ",1
06:11,,9,,35 (+26),"GOOD FT by STANLEY,SETH",HENDRIX 9-35 (+26),,"GOOD FT by STANLEY,SETH",1
06:11,,9,,36 (+27),"GOOD FT by STANLEY,SETH",HENDRIX 9-36 (+27),,"GOOD FT by STANLEY,SETH",1
06:11,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
06:11,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
06:11,"SUB IN by COOK,JEREMIAH",,,,,,,"SUB IN by COOK,JEREMIAH",1
06:11,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
06:11,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
06:11,"SUB OUT by AESCHLIMAN,SETH",,,,,,,"SUB OUT by AESCHLIMAN,SETH",1
05:53,"GOOD JUMPER by WILLIAMS,ZAVIEN",11,,36 (+25),,RHODES 11-36 (+25),,"GOOD JUMPER by WILLIAMS,ZAVIEN",1
05:36,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
