Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
06:50,,21,,29 (+8),"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",Mill 21-29 (+8),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
06:32,"GOOD 3PTR by REED,AUSTIN",24,,29 (+5),,BU 24-29 (+5),,"GOOD 3PTR by REED,AUSTIN",1
--,"ASSIST  by HODUM,RICK",,,,,,,"ASSIST  by HODUM,RICK",1
06:10,,,,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",1
--,,,,,"REBOUND OFF by HUGHES,ANTHONY",,,"REBOUND OFF by HUGHES,ANTHONY",1
06:04,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
06:03,,24,,31 (+7),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 24-31 (+7),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
05:57,"MISS LAYUP by YOUNG,QUESHOD(in the paint)",,,,,,,"MISS LAYUP by YOUNG,QUESHOD(in the paint)",1
05:57,,,,,"BLOCK  by VAN PELT,JUSTIN",,,"BLOCK  by VAN PELT,JUSTIN",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
05:54,"FOUL  by HODUM,RICK",,,,,,,"FOUL  by HODUM,RICK",1
05:54,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
05:54,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
05:46,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
05:34,"GOOD JUMPER by DUPREE,RYAN(in the paint)",26,,31 (+5),,BU 26-31 (+5),,"GOOD JUMPER by DUPREE,RYAN(in the paint)",1
05:13,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by REED,AUSTIN",,,,,,,"REBOUND DEF by REED,AUSTIN",1
05:01,"TURNOVER  by REED,AUSTIN",,,,,,,"TURNOVER  by REED,AUSTIN",1
05:01,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",1
04:52,,26,,33 (+7),"GOOD JUMPER by JENKINS,KALEB",Mill 26-33 (+7),,"GOOD JUMPER by JENKINS,KALEB",1
--,,,,,"ASSIST  by YOUNG,DILLON",,,"ASSIST  by YOUNG,DILLON",1
04:32,"FOUL  by DUPREE,RYAN",,,,,,,"FOUL  by DUPREE,RYAN",1
04:32,"TURNOVER  by DUPREE,RYAN",,,,,,,"TURNOVER  by DUPREE,RYAN",1
04:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:32,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
04:32,"SUB OUT by YOUNG,QUESHOD",,,,,,,"SUB OUT by YOUNG,QUESHOD",1
04:32,"SUB IN by PRUITT,KELVIN",,,,,,,"SUB IN by PRUITT,KELVIN",1
04:32,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
04:32,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
04:21,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
04:21,"STEAL  by DUPREE,RYAN",,,,,,,"STEAL  by DUPREE,RYAN",1
04:18,"MISS LAYUP by DUPREE,RYAN(in the paint)",,,,,,,"MISS LAYUP by DUPREE,RYAN(in the paint)",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
04:15,"FOUL  by PRUITT,KELVIN",,,,,,,"FOUL  by PRUITT,KELVIN",1
04:15,"SUB OUT by PRUITT,KELVIN",,,,,,,"SUB OUT by PRUITT,KELVIN",1
04:15,"SUB IN by JAMES,TRAI",,,,,,,"SUB IN by JAMES,TRAI",1
04:15,,,,,"MISS FT by HUGHES,ANTHONY(fastbreak)",,,"MISS FT by HUGHES,ANTHONY(fastbreak)",1
--,"REBOUND DEF by DUPREE,RYAN",,,,,,,"REBOUND DEF by DUPREE,RYAN",1
03:58,"TURNOVER  by JAMES,TRAI",,,,,,,"TURNOVER  by JAMES,TRAI",1
03:53,"SUB OUT by REED,AUSTIN",,,,,,,"SUB OUT by REED,AUSTIN",1
03:53,"SUB IN by COOKS,BROSNAN",,,,,,,"SUB IN by COOKS,BROSNAN",1
03:42,,26,,35 (+9),"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",Mill 26-35 (+9),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
03:24,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
03:16,"GOOD 3PTR by DUPREE,RYAN",29,,35 (+6),,BU 29-35 (+6),,"GOOD 3PTR by DUPREE,RYAN",1
--,"ASSIST  by COOKS,BROSNAN",,,,,,,"ASSIST  by COOKS,BROSNAN",1
03:00,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by DUPREE,RYAN",,,,,,,"REBOUND DEF by DUPREE,RYAN",1
02:52,"MISS 3PTR by DUPREE,RYAN",,,,,,,"MISS 3PTR by DUPREE,RYAN",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
02:46,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
02:46,"STEAL  by JAMES,TRAI",,,,,,,"STEAL  by JAMES,TRAI",1
02:37,"MISS LAYUP by COOKS,BROSNAN(in the paint)",,,,,,,"MISS LAYUP by COOKS,BROSNAN(in the paint)",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
02:27,,29,,37 (+8),"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",Mill 29-37 (+8),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",1
--,,,,,"ASSIST  by YOUNG,DILLON",,,"ASSIST  by YOUNG,DILLON",1
02:02,"FOUL  by COOKS,BROSNAN",,,,,,,"FOUL  by COOKS,BROSNAN",1
02:02,"TURNOVER  by COOKS,BROSNAN",,,,,,,"TURNOVER  by COOKS,BROSNAN",1
02:02,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",1
02:02,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
02:02,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
02:02,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
02:02,"SUB OUT by COOKS,BROSNAN",,,,,,,"SUB OUT by COOKS,BROSNAN",1
02:02,"SUB OUT by HODUM,RICK",,,,,,,"SUB OUT by HODUM,RICK",1
02:02,"SUB IN by MCMILLAN,MATTHEW",,,,,,,"SUB IN by MCMILLAN,MATTHEW",1
02:02,"SUB IN by REED,AUSTIN",,,,,,,"SUB IN by REED,AUSTIN",1
01:47,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by MCMILLAN,MATTHEW",,,,,,,"REBOUND DEF by MCMILLAN,MATTHEW",1
01:24,"MISS JUMPER by JAMES,TRAI(in the paint)",,,,,,,"MISS JUMPER by JAMES,TRAI(in the paint)",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
01:16,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
01:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:16,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
01:16,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
01:02,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
01:02,"GOOD FT by JAMES,TRAI",30,,37 (+7),,BU 30-37 (+7),,"GOOD FT by JAMES,TRAI",1
01:02,"GOOD FT by JAMES,TRAI",31,,37 (+6),,BU 31-37 (+6),,"GOOD FT by JAMES,TRAI",1
00:44,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1
00:38,,31,,39 (+8),"GOOD LAYUP by BECKER,SAXTON(in the paint)",Mill 31-39 (+8),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
--,,,,,"ASSIST  by SPIKES,KALVIN",,,"ASSIST  by SPIKES,KALVIN",1
