Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
20:00,"GOOD LAYUP by MATTHEWS,TREYLAN(fastbreak)(in the paint)",34 (+4),,30,,CENTMB 34-30 (-4),,"GOOD LAYUP by MATTHEWS,TREYLAN(fastbreak)(in the paint)",2
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",2
20:00,,,,,"MISS JUMPER by GAGEN,BRENNAN",,,"MISS JUMPER by GAGEN,BRENNAN",2
20:00,"BLOCK  by TARANTOLO,MITCHELL",,,,,,,"BLOCK  by TARANTOLO,MITCHELL",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
19:53,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",2
19:45,"GOOD FT by MATTHEWS,TREYLAN",35 (+5),,30,,CENTMB 35-30 (-5),,"GOOD FT by MATTHEWS,TREYLAN",2
19:20,"TURNOVER  by MATTHEWS,TREYLAN",,,,,,,"TURNOVER  by MATTHEWS,TREYLAN",2
18:58,,35 (+2),,33,"GOOD 3PTR by KOHNKE,SAM",MMB 35-33 (-2),,"GOOD 3PTR by KOHNKE,SAM",2
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",2
18:46,"GOOD JUMPER by SAPP,JAMES",37 (+4),,33,,CENTMB 37-33 (-4),,"GOOD JUMPER by SAPP,JAMES",2
--,"ASSIST  by MATTHEWS,TREYLAN",,,,,,,"ASSIST  by MATTHEWS,TREYLAN",2
18:28,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
18:23,"GOOD 3PTR by WEAVER,DYLLON(fastbreak)",40 (+7),,33,,CENTMB 40-33 (-7),,"GOOD 3PTR by WEAVER,DYLLON(fastbreak)",2
