Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
01:27,,28,,33 (+5),"GOOD 3PTR by MITCHELL,JAMES",CCM 28-33 (-5),,"GOOD 3PTR by MITCHELL,JAMES",1
--,,,,,"ASSIST  by JAUCH,JARED",,,"ASSIST  by JAUCH,JARED",1
01:04,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
01:03,,,,,"BLOCK  by CRUMLY,WILL",,,"BLOCK  by CRUMLY,WILL",1
--,,,,,"REBOUND DEF by JAUCH,JARED",,,"REBOUND DEF by JAUCH,JARED",1
00:59,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
00:30,,,,,"FOUL  by PALMER,NICK",,,"FOUL  by PALMER,NICK",1
00:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:30,"MISS FT by GRIFFIN,JAROD",,,,,,,"MISS FT by GRIFFIN,JAROD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:30,"GOOD FT by GRIFFIN,JAROD",29,,33 (+4),,CENTRE-M 29-33 (-4),,"GOOD FT by GRIFFIN,JAROD",1
00:30,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
00:30,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
00:30,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
00:30,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:30,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
00:30,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
00:30,,,,,"SUB IN by JAUCH,JARED",,,"SUB IN by JAUCH,JARED",1
00:30,,,,,"SUB OUT by HENRY,GAGE",,,"SUB OUT by HENRY,GAGE",1
00:02,,,,,"MISS JUMPER by MITCHELL,JAMES",,,"MISS JUMPER by MITCHELL,JAMES",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
19:46,"GOOD 3PTR by SINE,TUCKER",32,,33 (+1),,CENTRE-M 32-33 (-1),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
19:22,,32,,36 (+4),"GOOD 3PTR by JAUCH,JARED",CCM 32-36 (-4),,"GOOD 3PTR by JAUCH,JARED",2
--,,,,,"ASSIST  by MITCHELL,JAMES",,,"ASSIST  by MITCHELL,JAMES",2
19:05,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",2
19:04,,,,,"STEAL  by PALMER,NICK",,,"STEAL  by PALMER,NICK",2
19:03,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
18:39,"GOOD LAYUP by WALKER,ART(in the paint)",34,,36 (+2),,CENTRE-M 34-36 (-2),,"GOOD LAYUP by WALKER,ART(in the paint)",2
18:31,,,,,"MISS 3PTR by CRUMLY,WILL",,,"MISS 3PTR by CRUMLY,WILL",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
18:22,"GOOD 3PTR by BATES,JACOB",37 (+1),,36,,CENTRE-M 37-36 (+1),,"GOOD 3PTR by BATES,JACOB",2
