Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",2
17:38,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
17:24,,40 (+7),,33,"GOOD LAYUP by AYERS,PERRY(in the paint)",Centre 40-33 (+7),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
17:00,"MISS LAYUP by WARLICK,JORDAN",,,,,,,"MISS LAYUP by WARLICK,JORDAN",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
16:46,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",2
16:38,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",2
16:19,,40 (+5),,35,"GOOD LAYUP by AYERS,PERRY(in the paint)",Centre 40-35 (+5),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
16:08,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",2
15:59,,40 (+4),,36,"GOOD FT by AYERS,PERRY",Centre 40-36 (+4),,"GOOD FT by AYERS,PERRY",2
15:59,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
15:59,,,,,"MISS LAYUP by CRUMP,DAWSON",,,"MISS LAYUP by CRUMP,DAWSON",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
15:56,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
15:56,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:56,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:56,"GOOD FT by THOMAS,ADRIAN",41 (+5),,36,,Sewan 41-36 (+5),,"GOOD FT by THOMAS,ADRIAN",2
15:43,"FOUL  by STARR,RYAN",,,,,,,"FOUL  by STARR,RYAN",2
15:43,,41 (+4),,37,"GOOD FT by WALKER,ART",Centre 41-37 (+4),,"GOOD FT by WALKER,ART",2
15:43,,41 (+3),,38,"GOOD FT by WALKER,ART",Centre 41-38 (+3),,"GOOD FT by WALKER,ART",2
15:22,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
15:22,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
15:22,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
15:03,"MISS 3PTR by STARR,RYAN",,,,,,,"MISS 3PTR by STARR,RYAN",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
14:54,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",2
14:46,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",2
14:46,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",2
14:33,,41 (+1),,40,"GOOD JUMPER by WALKER,ART(in the paint)",Centre 41-40 (+1),,"GOOD JUMPER by WALKER,ART(in the paint)",2
14:33,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",2
14:33,,41,,41,"GOOD FT by WALKER,ART",Centre 41-41 (0),,"GOOD FT by WALKER,ART",2
14:33,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
14:33,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",2
14:33,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",2
