Time Remaining,BU-M,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
05:52,,17,,32 (+15),"GOOD FT by SPENCE,BEN",17BSC-M 17-32 (+15),,"GOOD FT by SPENCE,BEN",1
05:52,"SUB IN by ROBERS,JOSHUA",,,,,,,"SUB IN by ROBERS,JOSHUA",1
05:52,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",1
05:33,"MISS LAYUP by MCCOY,TOMMY",,,,,,,"MISS LAYUP by MCCOY,TOMMY",1
--,"REBOUND OFF by LEATHERWOOD,TREVEYON",,,,,,,"REBOUND OFF by LEATHERWOOD,TREVEYON",1
05:25,"MISS JUMPER by LEATHERWOOD,TREVEYON",,,,,,,"MISS JUMPER by LEATHERWOOD,TREVEYON",1
--,"REBOUND OFF by LEATHERWOOD,TREVEYON",,,,,,,"REBOUND OFF by LEATHERWOOD,TREVEYON",1
05:22,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
05:22,"GOOD FT by PODUM,RICK",18,,32 (+14),,BU-M 18-32 (+14),,"GOOD FT by PODUM,RICK",1
05:22,"GOOD FT by PODUM,RICK",19,,32 (+13),,BU-M 19-32 (+13),,"GOOD FT by PODUM,RICK",1
05:22,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
05:22,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",1
05:12,,19,,35 (+16),"GOOD 3PTR by GONDA,MATT(fastbreak)(in the paint)",17BSC-M 19-35 (+16),,"GOOD 3PTR by GONDA,MATT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
05:03,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
05:03,"GOOD FT by MCCOY,TOMMY",20,,35 (+15),,BU-M 20-35 (+15),,"GOOD FT by MCCOY,TOMMY",1
05:03,"MISS FT by MCCOY,TOMMY",,,,,,,"MISS FT by MCCOY,TOMMY",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
04:54,"FOUL  by LEATHERWOOD,TREVEYON",,,,,,,"FOUL  by LEATHERWOOD,TREVEYON",1
04:51,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:51,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",1
04:51,"GOOD FT by BROWN,ISAIAH",21,,35 (+14),,BU-M 21-35 (+14),,"GOOD FT by BROWN,ISAIAH",1
04:51,"GOOD FT by BROWN,ISAIAH",22,,35 (+13),,BU-M 22-35 (+13),,"GOOD FT by BROWN,ISAIAH",1
04:51,"SUB IN by BROWN,ISAIAH",,,,,,,"SUB IN by BROWN,ISAIAH",1
04:51,"SUB IN by LORRIS,JOHN",,,,,,,"SUB IN by LORRIS,JOHN",1
04:51,"SUB IN by COLE,DAVID",,,,,,,"SUB IN by COLE,DAVID",1
