Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SJFC,Game Score,Team Indicator,Play,Period
02:19,"MISS JUMPER by RUDAK,MATEUSZ",,,,,,,"MISS JUMPER by RUDAK,MATEUSZ",1
--,"REBOUND OFF by RUDAK,MATEUSZ",,,,,,,"REBOUND OFF by RUDAK,MATEUSZ",1
02:17,,,,,"FOUL  by D'AMICO,MICHAEL",,,"FOUL  by D'AMICO,MICHAEL",1
02:17,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by LEONE,JAMES",,,"REBOUND DEF by LEONE,JAMES",1
02:02,,,,,"MISS 3PTR by LEONE,JAMES",,,"MISS 3PTR by LEONE,JAMES",1
--,,,,,"REBOUND OFF by HAIGHT,JAKE",,,"REBOUND OFF by HAIGHT,JAKE",1
01:54,,,,,"MISS LAYUP by HAIGHT,JAKE",,,"MISS LAYUP by HAIGHT,JAKE",1
--,"REBOUND DEF by ALLISON,ZACH",,,,,,,"REBOUND DEF by ALLISON,ZACH",1
01:44,"MISS LAYUP by ALLISON,ZACH",,,,,,,"MISS LAYUP by ALLISON,ZACH",1
01:44,,,,,"BLOCK  by ROBINSON,SAMMY",,,"BLOCK  by ROBINSON,SAMMY",1
--,"REBOUND OFF by BAK,CALVIN",,,,,,,"REBOUND OFF by BAK,CALVIN",1
01:35,"GOOD 3PTR by BUTLER,TERENCE",38 (+9),,29,,BSC 38-29 (+9),,"GOOD 3PTR by BUTLER,TERENCE",1
--,"ASSIST  by BAK,CALVIN",,,,,,,"ASSIST  by BAK,CALVIN",1
01:19,,,,,"MISS LAYUP by HAIGHT,JAKE",,,"MISS LAYUP by HAIGHT,JAKE",1
--,,,,,"REBOUND OFF by HAIGHT,JAKE",,,"REBOUND OFF by HAIGHT,JAKE",1
01:18,"FOUL  by BUTLER,TERENCE",,,,,,,"FOUL  by BUTLER,TERENCE",1
01:18,,,,,"MISS FT by HAIGHT,JAKE",,,"MISS FT by HAIGHT,JAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:18,,38 (+8),,30,"GOOD FT by HAIGHT,JAKE",SJFC 38-30 (+8),,"GOOD FT by HAIGHT,JAKE",1
01:00,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",40 (+10),,30,,BSC 40-30 (+10),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
00:47,,,,,"MISS 3PTR by D'AMICO,MICHAEL",,,"MISS 3PTR by D'AMICO,MICHAEL",1
--,,,,,"REBOUND OFF by SCANLON,MARK",,,"REBOUND OFF by SCANLON,MARK",1
00:41,,,,,"MISS JUMPER by LEONE,JAMES",,,"MISS JUMPER by LEONE,JAMES",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
00:31,"MISS 3PTR by BUTLER,TERENCE",,,,,,,"MISS 3PTR by BUTLER,TERENCE",1
--,,,,,"REBOUND DEF by LEONE,JAMES",,,"REBOUND DEF by LEONE,JAMES",1
00:18,,,,,"MISS LAYUP by SCANLON,MARK",,,"MISS LAYUP by SCANLON,MARK",1
00:18,"BLOCK  by DENEKA,HARRISON",,,,,,,"BLOCK  by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by SCANLON,MARK",,,"REBOUND OFF by SCANLON,MARK",1
00:11,,40 (+8),,32,"GOOD LAYUP by SCANLON,MARK(in the paint)",SJFC 40-32 (+8),,"GOOD LAYUP by SCANLON,MARK(in the paint)",1
00:03,,,,,"FOUL  by D'AMICO,MICHAEL",,,"FOUL  by D'AMICO,MICHAEL",1
