Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
00:32,"FOUL  by GRAHAM,LAKE",,,,,,,"FOUL  by GRAHAM,LAKE",1
00:04,,24,,32 (+8),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 24-32 (+8),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
19:39,"MISS JUMPER by MCCLOUD,LEE",,,,,,,"MISS JUMPER by MCCLOUD,LEE",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
19:29,,24,,34 (+10),"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 24-34 (+10),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
19:14,"GOOD 3PTR by SMOAK,HUNTER",27,,34 (+7),,BCM 27-34 (+7),,"GOOD 3PTR by SMOAK,HUNTER",2
--,"ASSIST  by WHALEN,MAC",,,,,,,"ASSIST  by WHALEN,MAC",2
18:42,,27,,37 (+10),"GOOD 3PTR by BERGER,RYAN",MILLSAPS 27-37 (+10),,"GOOD 3PTR by BERGER,RYAN",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
18:17,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:43,,27,,39 (+12),"GOOD JUMPER by ROBERTSON,MARC",MILLSAPS 27-39 (+12),,"GOOD JUMPER by ROBERTSON,MARC",2
17:19,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
17:15,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",2
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",2
17:06,,27,,41 (+14),"GOOD DUNK by GILLIGAN,TULLY(fastbreak)(in the paint)",MILLSAPS 27-41 (+14),,"GOOD DUNK by GILLIGAN,TULLY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",2
16:54,"TURNOVER  by WHALEN,MAC",,,,,,,"TURNOVER  by WHALEN,MAC",2
16:53,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",2
16:49,,27,,43 (+16),"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",MILLSAPS 27-43 (+16),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",2
16:49,"FOUL  by SMOAK,HUNTER",,,,,,,"FOUL  by SMOAK,HUNTER",2
16:49,,27,,44 (+17),"GOOD FT by ROBERTSON,MARC",MILLSAPS 27-44 (+17),,"GOOD FT by ROBERTSON,MARC",2
16:38,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
16:36,"FOUL  by GRAHAM,LAKE",,,,,,,"FOUL  by GRAHAM,LAKE",2
16:32,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
16:30,"STEAL  by GRAHAM,LAKE",,,,,,,"STEAL  by GRAHAM,LAKE",2
16:29,"GOOD LAYUP by GRAHAM,LAKE(fastbreak)(in the paint)",29,,44 (+15),,BCM 29-44 (+15),,"GOOD LAYUP by GRAHAM,LAKE(fastbreak)(in the paint)",2
16:20,,29,,47 (+18),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 29-47 (+18),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
16:03,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:00,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
16:00,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
16:00,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
16:00,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
16:00,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
16:00,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
