Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
03:13,,33 (+4),,29,"GOOD FT by RUCKER,CAM",Mill 33-29 (-4),,"GOOD FT by RUCKER,CAM",1
03:13,,,,,"MISS FT by RUCKER,CAM",,,"MISS FT by RUCKER,CAM",1
--,"REBOUND DEF by TAYLOR,WILLIE",,,,,,,"REBOUND DEF by TAYLOR,WILLIE",1
02:47,"TURNOVER  by HARRIS,JAMES",,,,,,,"TURNOVER  by HARRIS,JAMES",1
02:47,,,,,"STEAL  by RUCKER,CAM",,,"STEAL  by RUCKER,CAM",1
02:36,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
02:36,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
02:36,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
02:36,"SUB OUT by HARRIS,JAMES",,,,,,,"SUB OUT by HARRIS,JAMES",1
02:36,"SUB OUT by TAYLOR,WILLIE",,,,,,,"SUB OUT by TAYLOR,WILLIE",1
02:36,"SUB OUT by JOHNSON,HORACE",,,,,,,"SUB OUT by JOHNSON,HORACE",1
02:36,"SUB IN by PAGE,SAM",,,,,,,"SUB IN by PAGE,SAM",1
02:36,"SUB IN by JOHNSON,JUSTIN",,,,,,,"SUB IN by JOHNSON,JUSTIN",1
02:36,"SUB IN by TONEY,CALEB",,,,,,,"SUB IN by TONEY,CALEB",1
02:18,"GOOD 3PTR by JOHNSON,JUSTIN",36 (+7),,29,,Hunt 36-29 (-7),,"GOOD 3PTR by JOHNSON,JUSTIN",1
02:01,,36 (+4),,32,"GOOD 3PTR by RUCKER,CAM",Mill 36-32 (-4),,"GOOD 3PTR by RUCKER,CAM",1
01:33,"FOUL  by MADISON,DAMIEN",,,,,,,"FOUL  by MADISON,DAMIEN",1
01:33,"TURNOVER  by MADISON,DAMIEN",,,,,,,"TURNOVER  by MADISON,DAMIEN",1
