Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
03:01,,,,,"MISS LAYUP by UGBA,AVERYL",,,"MISS LAYUP by UGBA,AVERYL",1
--,,,,,"REBOUND OFF by TAYLOR,TERRY",,,"REBOUND OFF by TAYLOR,TERRY",1
02:55,,25,,45 (+20),"GOOD LAYUP by TAYLOR,TERRY(in the paint)",APSU 25-45 (-20),,"GOOD LAYUP by TAYLOR,TERRY(in the paint)",1
02:44,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
02:44,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
02:44,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
02:44,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
02:44,,,,,"SUB IN by MARTIN,DEYSHAWN",,,"SUB IN by MARTIN,DEYSHAWN",1
02:44,,,,,"SUB OUT by UGBA,AVERYL",,,"SUB OUT by UGBA,AVERYL",1
02:32,,,,,"FOUL  by MARTIN,DEYSHAWN",,,"FOUL  by MARTIN,DEYSHAWN",1
02:32,,,,,"TURNOVER  by MARTIN,DEYSHAWN",,,"TURNOVER  by MARTIN,DEYSHAWN",1
02:20,"MISS 3PTR by HEITZENRATER,ANDREW",,,,,,,"MISS 3PTR by HEITZENRATER,ANDREW",1
--,,,,,"REBOUND DEF by IVORY,TRE'",,,"REBOUND DEF by IVORY,TRE'",1
02:14,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
02:14,,25,,46 (+21),"GOOD FT by TAYLOR,TERRY",APSU 25-46 (-21),,"GOOD FT by TAYLOR,TERRY",1
02:14,,25,,47 (+22),"GOOD FT by TAYLOR,TERRY",APSU 25-47 (-22),,"GOOD FT by TAYLOR,TERRY",1
02:14,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
