Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
05:11,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
05:11,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
05:03,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
05:03,,,,,"MISS FT by PERKINS,ALEX",,,"MISS FT by PERKINS,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:03,,20,,23 (+3),"GOOD FT by PERKINS,ALEX",16BSC-M 20-23 (+3),,"GOOD FT by PERKINS,ALEX",1
05:03,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
05:03,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",1
04:56,"MISS JUMPER by GREEN,CADE",,,,,,,"MISS JUMPER by GREEN,CADE",1
04:56,,,,,"BLOCK  by RUDAK,MATTY",,,"BLOCK  by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
04:48,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
04:42,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
04:37,"GOOD LAYUP by GREEN,CADE(in the paint)",22,,23 (+1),,BCM 22-23 (+1),,"GOOD LAYUP by GREEN,CADE(in the paint)",1
--,"ASSIST  by DENBESTEN,COLE",,,,,,,"ASSIST  by DENBESTEN,COLE",1
04:25,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",1
--,,,,,"REBOUND OFF by RUDAK,MATTY",,,"REBOUND OFF by RUDAK,MATTY",1
04:25,"FOUL  by GREEN,CADE",,,,,,,"FOUL  by GREEN,CADE",1
04:25,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
04:07,"TURNOVER  by CLARK,ETHAN",,,,,,,"TURNOVER  by CLARK,ETHAN",1
04:05,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1
04:02,,,,,"MISS LAYUP by PERKINS,ALEX",,,"MISS LAYUP by PERKINS,ALEX",1
04:01,"BLOCK  by ELLINGSWORTH,COLEMAN",,,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
03:56,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",24 (+1),,23,,BCM 24-23 (-1),,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",1
03:32,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
03:29,,24,,25 (+1),"GOOD TIPIN by DENEKA,HARRISON(in the paint)",16BSC-M 24-25 (+1),,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",1
03:17,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
03:17,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:17,"GOOD FT by DENBESTEN,COLE",25,,25,,BCM 25-25 (0),,"GOOD FT by DENBESTEN,COLE",1
03:17,"GOOD FT by DENBESTEN,COLE",26 (+1),,25,,BCM 26-25 (-1),,"GOOD FT by DENBESTEN,COLE",1
03:17,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
03:17,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
03:17,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
