Time Remaining,HUNTINGM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
04:39,"GOOD 3PTR by VARNEY,JASON",37 (+11),,26,,HUNTINGM 37-26 (-11),,"GOOD 3PTR by VARNEY,JASON",1
04:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:15,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,"REBOUND DEF by VARNEY,JASON",,,,,,,"REBOUND DEF by VARNEY,JASON",1
04:01,"SUB IN by EDGAR,COURTNEE",,,,,,,"SUB IN by EDGAR,COURTNEE",1
04:01,"SUB OUT by PETTY,RYAN",,,,,,,"SUB OUT by PETTY,RYAN",1
04:01,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
04:01,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
03:59,"SUB IN by PETTY,RYAN",,,,,,,"SUB IN by PETTY,RYAN",1
03:59,"SUB OUT by DUDLEY,BYRON",,,,,,,"SUB OUT by DUDLEY,BYRON",1
03:54,"GOOD LAYUP by VARNEY,JASON(in the paint)",39 (+13),,26,,HUNTINGM 39-26 (-13),,"GOOD LAYUP by VARNEY,JASON(in the paint)",1
03:51,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
03:45,"GOOD FT by VARNEY,JASON",40 (+14),,26,,HUNTINGM 40-26 (-14),,"GOOD FT by VARNEY,JASON",1
03:45,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
03:45,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
03:12,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
03:11,"STEAL  by PETTY,RYAN",,,,,,,"STEAL  by PETTY,RYAN",1
03:08,"MISS LAYUP by PETTY,RYAN",,,,,,,"MISS LAYUP by PETTY,RYAN",1
03:08,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
03:00,"FOUL  by VARNEY,JASON",,,,,,,"FOUL  by VARNEY,JASON",1
03:00,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:00,,40 (+13),,27,"GOOD FT by BERGER,RYAN",MILLSAPS 40-27 (-13),,"GOOD FT by BERGER,RYAN",1
03:00,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
03:00,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
02:30,"TURNOVER  by VARNEY,JASON",,,,,,,"TURNOVER  by VARNEY,JASON",1
02:12,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
02:12,"BLOCK  by VARNEY,JASON",,,,,,,"BLOCK  by VARNEY,JASON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:06,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
01:54,,40 (+11),,29,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 40-29 (-11),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
01:54,"FOUL  by HILL,AUSTIN",,,,,,,"FOUL  by HILL,AUSTIN",1
01:54,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
