Time Remaining,AUR,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
05:12,"MISS JUMPER by HALL,TYLER",,,,,,,"MISS JUMPER by HALL,TYLER",1
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",1
05:01,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
05:01,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
05:01,"SUB IN by FRITSCH,CHRIS",,,,,,,"SUB IN by FRITSCH,CHRIS",1
05:01,"SUB OUT by LYNN,JOSH",,,,,,,"SUB OUT by LYNN,JOSH",1
04:46,,26,,35 (+9),"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",RHO 26-35 (+9),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",1
04:33,"GOOD 3PTR by KLADIS,NICK",29,,35 (+6),,AUR 29-35 (+6),,"GOOD 3PTR by KLADIS,NICK",1
--,"ASSIST  by FRITSCH,CHRIS",,,,,,,"ASSIST  by FRITSCH,CHRIS",1
04:01,,,,,"MISS LAYUP by LOWRIE,ANDREW",,,"MISS LAYUP by LOWRIE,ANDREW",1
--,"REBOUND DEF by STOKES,KALMON",,,,,,,"REBOUND DEF by STOKES,KALMON",1
03:54,"MISS 3PTR by KLADIS,NICK",,,,,,,"MISS 3PTR by KLADIS,NICK",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
03:45,"FOUL  by HALL,TYLER",,,,,,,"FOUL  by HALL,TYLER",1
03:45,,29,,36 (+7),"GOOD FT by BUTTS,KEYSHAWN",RHO 29-36 (+7),,"GOOD FT by BUTTS,KEYSHAWN",1
03:45,"SUB IN by LAGRONE,JORDAN",,,,,,,"SUB IN by LAGRONE,JORDAN",1
03:45,"SUB OUT by HALL,TYLER",,,,,,,"SUB OUT by HALL,TYLER",1
03:45,,29,,37 (+8),"GOOD FT by BUTTS,KEYSHAWN",RHO 29-37 (+8),,"GOOD FT by BUTTS,KEYSHAWN",1
03:45,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
03:45,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
