Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
04:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:16,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
04:16,"SUB IN by BRYAN,WILLIAM",,,,,,,"SUB IN by BRYAN,WILLIAM",1
04:16,"SUB IN by BARNETTE,CHRIS",,,,,,,"SUB IN by BARNETTE,CHRIS",1
04:16,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
04:16,"SUB OUT by PALMER,BRADY",,,,,,,"SUB OUT by PALMER,BRADY",1
03:40,"MISS JUMPER by BARNETTE,CHRIS",,,,,,,"MISS JUMPER by BARNETTE,CHRIS",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
03:29,"FOUL  by BARNETTE,CHRIS",,,,,,,"FOUL  by BARNETTE,CHRIS",1
03:29,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:29,,27 (+3),,24,"GOOD FT by STEWART,CHRISTIAN",BSC-M 27-24 (-3),,"GOOD FT by STEWART,CHRISTIAN",1
03:29,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",1
03:29,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
03:29,"SUB OUT by BRYAN,WILLIAM",,,,,,,"SUB OUT by BRYAN,WILLIAM",1
03:29,"SUB OUT by JAUCH,JARED",,,,,,,"SUB OUT by JAUCH,JARED",1
03:29,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
03:29,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
03:29,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
03:29,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
03:29,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
03:29,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
03:29,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
03:29,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
03:29,,,,,"SUB OUT by KANE,DENMAN",,,"SUB OUT by KANE,DENMAN",1
